File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000ROM	bam	alignments	ENCSR000DKV	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		2011-03-17	ENCODE		see document			1	1							369612806	Vishwanath Iyer, UTA	49a0bd6730c3950087edd7162a7a286d	https://www.encodeproject.org/files/ENCFF000ROM/@@download/ENCFF000ROM.bam	hg19			released		biological replicates with identical biosample		
ENCFF000RON	bam	alignments	ENCSR000DKV	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		2011-03-17	ENCODE		see document			2	1							313793081	Vishwanath Iyer, UTA	24c25b458cd7e472af7cff89b91ce706	https://www.encodeproject.org/files/ENCFF000RON/@@download/ENCFF000RON.bam	hg19			released		biological replicates with identical biosample		
ENCFF000ROQ	bam	alignments	ENCSR000DKV	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		2011-03-17	ENCODE		see document			3	1							536609157	Vishwanath Iyer, UTA	c7afb31b2e0b6a6c11c3f7f6793ff9cc	https://www.encodeproject.org/files/ENCFF000ROQ/@@download/ENCFF000ROQ.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VTR	bam	alignments	ENCSR000DZR	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					CHD2-human	ENCAB000AFG	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							344442464	Michael Snyder, Stanford	3a30d22938d5e825afa7ec25258c09cf	https://www.encodeproject.org/files/ENCFF000VTR/@@download/ENCFF000VTR.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VTS	bam	alignments	ENCSR000DZR	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					CHD2-human	ENCAB000AFG	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							443770965	Michael Snyder, Stanford	910c252082a3fd517f0ffeb0a36d80ea	https://www.encodeproject.org/files/ENCFF000VTS/@@download/ENCFF000VTS.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WBH	bam	alignments	ENCSR000EAD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		2012-05-14	ENCODE		see document			1	1							208155665	Michael Snyder, Stanford	0a3746183a82deed645674cec5dbbb37	https://www.encodeproject.org/files/ENCFF000WBH/@@download/ENCFF000WBH.bam	hg19			released	mixed read lengths	biological replicates with identical biosample		
ENCFF000WBI	bam	alignments	ENCSR000EAD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		2012-05-14	ENCODE		see document			2	1							236473485	Michael Snyder, Stanford	d202ab81b94d9e1efca9e928977f87f6	https://www.encodeproject.org/files/ENCFF000WBI/@@download/ENCFF000WBI.bam	hg19			released	mixed read lengths	biological replicates with identical biosample		
ENCFF000WBJ	bam	alignments	ENCSR000EAD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		2012-05-14	ENCODE		see document			3	1							209156392	Michael Snyder, Stanford	ae39aad4ef08e51aba5fc84691de309b	https://www.encodeproject.org/files/ENCFF000WBJ/@@download/ENCFF000WBJ.bam	hg19			released	mixed read lengths	biological replicates with identical biosample		
ENCFF000WBK	bam	alignments	ENCSR000EAD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		2012-05-14	ENCODE		see document			4	1							264034844	Michael Snyder, Stanford	938a196875dabe07694e6eaef308f0cc	https://www.encodeproject.org/files/ENCFF000WBK/@@download/ENCFF000WBK.bam	hg19			released	mixed read lengths	biological replicates with identical biosample		
ENCFF000WBL	bam	alignments	ENCSR000EAD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		2012-05-14	ENCODE		see document			6	1							115229235	Michael Snyder, Stanford	eb74d7f271e9aed6c8f2f316900a9e71	https://www.encodeproject.org/files/ENCFF000WBL/@@download/ENCFF000WBL.bam	hg19			released	mixed read lengths	biological replicates with identical biosample		
ENCFF000WBN	bam	alignments	ENCSR000EAD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		2012-05-14	ENCODE		see document			7	1							230304185	Michael Snyder, Stanford	d6ec5fcc7669935c34f522e2f6342f49	https://www.encodeproject.org/files/ENCFF000WBN/@@download/ENCFF000WBN.bam	hg19			released	mixed read lengths	biological replicates with identical biosample		
ENCFF000WBO	bam	alignments	ENCSR000EAD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		2012-05-14	ENCODE		see document			5	1							879937514	Michael Snyder, Stanford	73a091e4c66231fba696810399acb1e5	https://www.encodeproject.org/files/ENCFF000WBO/@@download/ENCFF000WBO.bam	hg19			released	mixed read lengths	biological replicates with identical biosample		
ENCFF000WDT	bam	alignments	ENCSR000DYU	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					SREBF1-human	ENCAB000ALC	DNA		see document	see document		2012-08-20	ENCODE		see document			1	1							614929639	Michael Snyder, Stanford	f9b8f860050d7ef136b965e8fc012d8e	https://www.encodeproject.org/files/ENCFF000WDT/@@download/ENCFF000WDT.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WDU	bam	alignments	ENCSR000DYU	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					SREBF1-human	ENCAB000ALC	DNA		see document	see document		2012-08-20	ENCODE		see document			2	1							662946642	Michael Snyder, Stanford	c39d026208ecc27912d90fbe3cf822ca	https://www.encodeproject.org/files/ENCFF000WDU/@@download/ENCFF000WDU.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VUC	bam	alignments	ENCSR000DZN	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					CTCF-human	ENCAB000AFQ	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							255647819	Michael Snyder, Stanford	e735ec94ce4d7716373aa0a3e1769e6b	https://www.encodeproject.org/files/ENCFF000VUC/@@download/ENCFF000VUC.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VUE	bam	alignments	ENCSR000DZN	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					CTCF-human	ENCAB000AFQ	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							441787382	Michael Snyder, Stanford	f4dd7412a968abb7f5e62eee1a80113d	https://www.encodeproject.org/files/ENCFF000VUE/@@download/ENCFF000VUE.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NTF	bam	alignments	ENCSR000BJZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					BCLAF1-human	ENCAB000AEH	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							732148044	Richard Myers, HAIB	6e3a790e78b9858d207af4d0f2481a49	https://www.encodeproject.org/files/ENCFF000NTF/@@download/ENCFF000NTF.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NTG	bam	alignments	ENCSR000BJZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					BCLAF1-human	ENCAB000AEH	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							1225452186	Richard Myers, HAIB	79106e1fe92f00b8ec9582057afc6137	https://www.encodeproject.org/files/ENCFF000NTG/@@download/ENCFF000NTG.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NYZ	bam	alignments	ENCSR000BHD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					PAX5-human	ENCAB000AJS	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							1665053881	Richard Myers, HAIB	7aeca89582e6782a0d92691fceae94f6	https://www.encodeproject.org/files/ENCFF000NYZ/@@download/ENCFF000NYZ.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NZF	bam	alignments	ENCSR000BHD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					PAX5-human	ENCAB000AJS	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							673582149	Richard Myers, HAIB	e2ef2288343a6c53b9a038a9d0dc92d8	https://www.encodeproject.org/files/ENCFF000NZF/@@download/ENCFF000NZF.bam	hg19			released		biological replicates with identical biosample		
ENCFF697KFO	bam	alignments	ENCSR000AIY	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHS, ENCFF700TXC	3235744130	ENCODE Processing Pipeline	51b46348b9d6d3c43b4999c374c539ef	https://www.encodeproject.org/files/ENCFF697KFO/@@download/ENCFF697KFO.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF674BIH	bam	alignments	ENCSR000AIY	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHS, ENCFF839KAI	4082646934	ENCODE Processing Pipeline	80f24211663cf70564f3789e955965e4	https://www.encodeproject.org/files/ENCFF674BIH/@@download/ENCFF674BIH.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF097LQR	bam	transcriptome alignments	ENCSR000AIY	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHS, ENCFF839KAI	4577735239	ENCODE Processing Pipeline	f017fdb9ba1f56fcbf5ad820df9a1120	https://www.encodeproject.org/files/ENCFF097LQR/@@download/ENCFF097LQR.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF975FMX	bam	alignments	ENCSR000AIY	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHS, ENCFF742NER	4149939240	ENCODE Processing Pipeline	455710721261f2d25b8768ecc2712a2a	https://www.encodeproject.org/files/ENCFF975FMX/@@download/ENCFF975FMX.bam	GRCh38			released		NTR assay, inconsistent assay_term_id		
ENCFF376RGA	bam	transcriptome alignments	ENCSR000AIY	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHS, ENCFF742NER	4656394839	ENCODE Processing Pipeline	bceb24548a2fafb647c0f84624d879d1	https://www.encodeproject.org/files/ENCFF376RGA/@@download/ENCFF376RGA.bam	GRCh38			released		NTR assay, inconsistent assay_term_id		
ENCFF934ISZ	bam	alignments	ENCSR000AJB	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHV, ENCFF700TXC	2278895755	ENCODE Processing Pipeline	76f8eaeaf37b0f9834f5ecaf6e86f719	https://www.encodeproject.org/files/ENCFF934ISZ/@@download/ENCFF934ISZ.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF048WVG	bam	alignments	ENCSR000AJB	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHV, ENCFF839KAI	2811889689	ENCODE Processing Pipeline	b3ce9d5e17b44f1ee906104ac37c5712	https://www.encodeproject.org/files/ENCFF048WVG/@@download/ENCFF048WVG.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF780TSB	bam	transcriptome alignments	ENCSR000AJB	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHV, ENCFF839KAI	3356578807	ENCODE Processing Pipeline	d162cb9cf5e3fa63ee3032c3ab155d6e	https://www.encodeproject.org/files/ENCFF780TSB/@@download/ENCFF780TSB.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF098RUL	bam	alignments	ENCSR000AJB	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHV, ENCFF742NER	2821934135	ENCODE Processing Pipeline	c714ea51e48744c5b6097e6e32a0c446	https://www.encodeproject.org/files/ENCFF098RUL/@@download/ENCFF098RUL.bam	GRCh38			released		NTR assay, inconsistent assay_term_id		
ENCFF231VBP	bam	transcriptome alignments	ENCSR000AJB	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHV, ENCFF742NER	3450411648	ENCODE Processing Pipeline	5b85f48b073b96c6ab8e9ef7ce5ecbe7	https://www.encodeproject.org/files/ENCFF231VBP/@@download/ENCFF231VBP.bam	GRCh38			released		NTR assay, inconsistent assay_term_id		
ENCFF000OAO	bam	alignments	ENCSR000BGD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							1291463709	Richard Myers, HAIB	dbdc8e6f75c73c64ccac21113c418b9a	https://www.encodeproject.org/files/ENCFF000OAO/@@download/ENCFF000OAO.bam	hg19			released		biological replicates with identical biosample		
ENCFF000OAR	bam	alignments	ENCSR000BGD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							1304539164	Richard Myers, HAIB	4349753a4fcaa55782ece69642933bcd	https://www.encodeproject.org/files/ENCFF000OAR/@@download/ENCFF000OAR.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VWX	bam	alignments	ENCSR000DYS	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					JUND-human	ENCAB000AID	DNA		see document	see document		2012-08-20	ENCODE		see document			1	1							527324067	Michael Snyder, Stanford	ac50ee8aa72ed7e9ab91fcb8580441a0	https://www.encodeproject.org/files/ENCFF000VWX/@@download/ENCFF000VWX.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VWY	bam	alignments	ENCSR000DYS	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					JUND-human	ENCAB000AID	DNA		see document	see document		2012-08-20	ENCODE		see document			2	1							372370718	Michael Snyder, Stanford	4369d89fa777744d5354011d96d45260	https://www.encodeproject.org/files/ENCFF000VWY/@@download/ENCFF000VWY.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VXL	bam	alignments	ENCSR000EYV	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					JUND-human	ENCAB000AID	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							182771510	Sherman Weissman, Yale	561ae5ec116854778eeec37a5f868f8e	https://www.encodeproject.org/files/ENCFF000VXL/@@download/ENCFF000VXL.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VXM	bam	alignments	ENCSR000EYV	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					JUND-human	ENCAB000AID	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							215980387	Sherman Weissman, Yale	8712f61f06f2f8e0bf618edd5edd36b0	https://www.encodeproject.org/files/ENCFF000VXM/@@download/ENCFF000VXM.bam	hg19			released		biological replicates with identical biosample		
ENCFF000OAG	bam	alignments	ENCSR000BIF	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR2AphosphoS5-human	ENCAB000AOD	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							1396552795	Richard Myers, HAIB	7427cc5d553e4514fb412670700960c3	https://www.encodeproject.org/files/ENCFF000OAG/@@download/ENCFF000OAG.bam	hg19			released	inconsistent platforms	NTR biosample, biological replicates with identical biosample		
ENCFF000OAJ	bam	alignments	ENCSR000BIF	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR2AphosphoS5-human	ENCAB000AOD	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							1232286491	Richard Myers, HAIB	3208440aa5ec3cb3a3723533ed339914	https://www.encodeproject.org/files/ENCFF000OAJ/@@download/ENCFF000OAJ.bam	hg19			released	inconsistent platforms	NTR biosample, biological replicates with identical biosample		
ENCFF001SJD	bam	alignments	ENCSR000AEJ	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA	rRNA	see document	see document		2014-06-30	ENCODE		see document	<200		2	1						ENCFF001REE	10705261060	Thomas Gingeras, CSHL	e49d32adf92b5b35596f2192b8914cc3	https://www.encodeproject.org/files/ENCFF001SJD/@@download/ENCFF001SJD.bam	hg19			released				
ENCFF001SMA	bam	alignments	ENCSR000AEJ	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA	rRNA	see document	see document		2014-06-30	ENCODE		see document	<200		1	1						ENCFF001RER	9189901828	Thomas Gingeras, CSHL	bba6da1830747c9a03cd428dda1c30a7	https://www.encodeproject.org/files/ENCFF001SMA/@@download/ENCFF001SMA.bam	hg19			released				
ENCFF260KWD	bam	alignments	ENCSR000AEJ	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA	rRNA	see document	see document		2014-06-30	ENCODE		see document	<200		1	1						ENCFF001RER, ENCFF982OYH	13946033829	ENCODE Processing Pipeline	5647a54bbcb3d6c52ec172c56600fe7c	https://www.encodeproject.org/files/ENCFF260KWD/@@download/ENCFF260KWD.bam	hg19			released				
ENCFF678NQJ	bam	alignments	ENCSR000AEJ	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA	rRNA	see document	see document		2014-06-30	ENCODE		see document	<200		2	1						ENCFF001REE, ENCFF982OYH	15754926599	ENCODE Processing Pipeline	94ea704acb3084d57d8d263d944c09c7	https://www.encodeproject.org/files/ENCFF678NQJ/@@download/ENCFF678NQJ.bam	hg19			released				
ENCFF601VBE	bam	alignments	ENCSR000AEJ	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA	rRNA	see document	see document		2014-06-30	ENCODE		see document	<200		1	1						ENCFF001RER, ENCFF426MTM	17152727584	ENCODE Processing Pipeline	d265079332da77ec9f78e8b501a945df	https://www.encodeproject.org/files/ENCFF601VBE/@@download/ENCFF601VBE.bam	GRCh38			released				
ENCFF733XGL	bam	alignments	ENCSR000AEJ	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA	rRNA	see document	see document		2014-06-30	ENCODE		see document	<200		2	1						ENCFF001REE, ENCFF426MTM	18695355482	ENCODE Processing Pipeline	dae65da9bc0c66ccd18b6ed9d6770c1c	https://www.encodeproject.org/files/ENCFF733XGL/@@download/ENCFF733XGL.bam	GRCh38			released				
ENCFF000VVM	bam	alignments	ENCSR000DNO	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					KAT2A-human	ENCAB000AHA	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							381098361	Kevin Struhl, HMS	02dbcf2d41bd8a08c45f99c6192aae44	https://www.encodeproject.org/files/ENCFF000VVM/@@download/ENCFF000VVM.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VVO	bam	alignments	ENCSR000DNO	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					KAT2A-human	ENCAB000AHA	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							376658151	Kevin Struhl, HMS	b7d0a1803265108ebd80605e6d17b1c6	https://www.encodeproject.org/files/ENCFF000VVO/@@download/ENCFF000VVO.bam	hg19			released		biological replicates with identical biosample		
ENCFF001RWK	bam	alignments	ENCSR000AEE	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		2014-06-30	ENCODE		chemical (Illumina TruSeq)	>200		2	1						ENCFF001RCZ, ENCFF001RDH	10671476325	Brenton Graveley, UConn	edcb3a9fea6fc6f2efe90a0cfcb60b51	https://www.encodeproject.org/files/ENCFF001RWK/@@download/ENCFF001RWK.bam	hg19	HiSeq 2000		released				
ENCFF001RWJ	bam	alignments	ENCSR000AEE	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		2014-06-30	ENCODE		chemical (Illumina TruSeq)	>200		1	1						ENCFF001RDA, ENCFF001RDI	9602841051	Brenton Graveley, UConn	aa1d03b51b7eac6cce85b37e07a712b2	https://www.encodeproject.org/files/ENCFF001RWJ/@@download/ENCFF001RWJ.bam	hg19	HiSeq 2000		released				
