File accession	Assay
ENCFF001RWI	RNA-seq
ENCFF001RWH	RNA-seq
ENCFF001RZJ	RNA-seq
ENCFF001SAU	RNA-seq
ENCFF001SDJ	RNA-seq
ENCFF001SDA	RNA-seq
ENCFF779OTU	RNA-seq
ENCFF786EVL	RNA-seq
ENCFF978VYH	RNA-seq
ENCFF778SFW	RNA-seq
ENCFF490VIX	RNA-seq
ENCFF242CSI	RNA-seq
ENCFF547YFO	RNA-seq
ENCFF161WMO	RNA-seq
ENCFF782IVX	RNA-seq
ENCFF250ZPU	RNA-seq
ENCFF000VUG	ChIP-seq
ENCFF000VUH	ChIP-seq
ENCFF000IYN	RNA-seq
ENCFF000IYW	RNA-seq
ENCFF000WGQ	ChIP-seq
ENCFF000WGO	ChIP-seq
ENCFF000VWO	ChIP-seq
ENCFF000NWW	ChIP-seq
ENCFF000NWZ	ChIP-seq
ENCFF000VWE	ChIP-seq
ENCFF000VWS	ChIP-seq
ENCFF000VWU	ChIP-seq
ENCFF000NSY	ChIP-seq
ENCFF000NTA	ChIP-seq
ENCFF000VSB	ChIP-seq
ENCFF000VSI	ChIP-seq
ENCFF000VWP	ChIP-seq
ENCFF000VWQ	ChIP-seq
ENCFF000VTU	ChIP-seq
ENCFF000VUB	ChIP-seq
ENCFF000OEY	ChIP-seq
ENCFF000OEZ	ChIP-seq
ENCFF000VSJ	ChIP-seq
ENCFF000VSK	ChIP-seq
ENCFF000WDH	ChIP-seq
ENCFF000WDN	ChIP-seq
ENCFF000VAI	RIP-seq
ENCFF000VAJ	RIP-seq
ENCFF171CGJ	single cell isolation followed by RNA-seq
ENCFF084RZU	single cell isolation followed by RNA-seq
ENCFF203SNE	single cell isolation followed by RNA-seq
ENCFF241EQR	single cell isolation followed by RNA-seq
ENCFF758FGF	single cell isolation followed by RNA-seq
ENCFF000WAJ	ChIP-seq
ENCFF000WAR	ChIP-seq
ENCFF000LCZ	RNA-PET
ENCFF000LDH	RNA-PET
ENCFF000JAK	RNA-seq
ENCFF000JAP	RNA-seq
ENCFF000NVG	ChIP-seq
ENCFF000NVL	ChIP-seq
ENCFF000NYS	ChIP-seq
ENCFF000NYW	ChIP-seq
ENCFF000NSA	ChIP-seq
ENCFF000NSD	ChIP-seq
ENCFF454JRE	single cell isolation followed by RNA-seq
ENCFF888TNZ	single cell isolation followed by RNA-seq
ENCFF961WVU	single cell isolation followed by RNA-seq
ENCFF356GWY	single cell isolation followed by RNA-seq
ENCFF428GZF	single cell isolation followed by RNA-seq
ENCFF000WDP	ChIP-seq
ENCFF000WDR	ChIP-seq
ENCFF000SKV	DNase-seq
ENCFF000SKW	DNase-seq
ENCFF000SKZ	DNase-seq
ENCFF000SLB	DNase-seq
ENCFF000SLD	DNase-seq
ENCFF001GNJ	Repli-seq
ENCFF000NUO	ChIP-seq
ENCFF000LDT	RNA-PET
ENCFF000WGH	ChIP-seq
ENCFF000WGI	ChIP-seq
ENCFF000ODC	ChIP-seq
ENCFF000ODD	ChIP-seq
ENCFF000WGJ	ChIP-seq
ENCFF000WGL	ChIP-seq
ENCFF000OGZ	ChIP-seq
ENCFF000OHC	ChIP-seq
ENCFF001HHW	ChIP-seq
ENCFF504ALV	ChIP-seq
ENCFF094HMB	ChIP-seq
ENCFF000VAP	RIP-seq
ENCFF000VAR	RIP-seq
ENCFF000WCJ	ChIP-seq
ENCFF000WCK	ChIP-seq
ENCFF000THT	FAIRE-seq
ENCFF000THU	FAIRE-seq
ENCFF000THX	FAIRE-seq
ENCFF000NZP	ChIP-seq
ENCFF000NZR	ChIP-seq
ENCFF001GNO	Repli-seq
ENCFF000VXV	ChIP-seq
ENCFF000VXW	ChIP-seq
ENCFF000NWO	ChIP-seq
ENCFF000NWR	ChIP-seq
ENCFF000VSZ	ChIP-seq
ENCFF000VTA	ChIP-seq
ENCFF000VTB	ChIP-seq
ENCFF580TFI	single cell isolation followed by RNA-seq
ENCFF007LQT	single cell isolation followed by RNA-seq
ENCFF613PIC	single cell isolation followed by RNA-seq
ENCFF235ZQY	single cell isolation followed by RNA-seq
ENCFF643MWL	single cell isolation followed by RNA-seq
ENCFF000NYC	ChIP-seq
ENCFF000NYF	ChIP-seq
ENCFF110FYW	single cell isolation followed by RNA-seq
ENCFF915ISY	single cell isolation followed by RNA-seq
ENCFF556BNV	single cell isolation followed by RNA-seq
ENCFF817LIP	single cell isolation followed by RNA-seq
ENCFF706HKB	single cell isolation followed by RNA-seq
ENCFF398SCD	single cell isolation followed by RNA-seq
ENCFF156FPC	single cell isolation followed by RNA-seq
ENCFF687WHP	single cell isolation followed by RNA-seq
ENCFF700VLI	single cell isolation followed by RNA-seq
ENCFF248WAT	single cell isolation followed by RNA-seq
ENCFF000NZI	ChIP-seq
ENCFF000NZL	ChIP-seq
ENCFF000ODU	ChIP-seq
ENCFF000ODW	ChIP-seq
ENCFF000WER	ChIP-seq
ENCFF000WES	ChIP-seq
ENCFF000ROW	ChIP-seq
ENCFF000ODL	ChIP-seq
ENCFF000VTE	ChIP-seq
ENCFF000VTQ	ChIP-seq
ENCFF000NUE	ChIP-seq
ENCFF000NUG	ChIP-seq
ENCFF000OHG	ChIP-seq
ENCFF000OHK	ChIP-seq
ENCFF529NKG	single cell isolation followed by RNA-seq
ENCFF233YMW	single cell isolation followed by RNA-seq
ENCFF315YXO	single cell isolation followed by RNA-seq
ENCFF062SCW	single cell isolation followed by RNA-seq
ENCFF497TAB	single cell isolation followed by RNA-seq
ENCFF000JAD	RNA-seq
ENCFF000JAG	RNA-seq
ENCFF000VSQ	ChIP-seq
ENCFF000VSU	ChIP-seq
ENCFF242MAP	RAMPAGE
ENCFF180ZRG	RAMPAGE
ENCFF520YOP	RAMPAGE
ENCFF006EEW	RAMPAGE
ENCFF000WBY	ChIP-seq
ENCFF000WCB	ChIP-seq
ENCFF000NVY	ChIP-seq
ENCFF000NWB	ChIP-seq
ENCFF000VLH	MNase-seq
ENCFF000VLI	MNase-seq
ENCFF000VLJ	MNase-seq
ENCFF000VLK	MNase-seq
ENCFF000VLL	MNase-seq
ENCFF000VMF	MNase-seq
ENCFF000VMG	MNase-seq
ENCFF000VMH	MNase-seq
ENCFF000VMI	MNase-seq
ENCFF001GNS	Repli-seq
ENCFF001SAQ	RNA-seq
ENCFF001SAW	RNA-seq
ENCFF001SCD	RNA-seq
ENCFF001SBZ	RNA-seq
ENCFF001SFX	RNA-seq
ENCFF001SFW	RNA-seq
ENCFF550JUF	RNA-seq
ENCFF888ZWX	RNA-seq
ENCFF704PEK	RNA-seq
ENCFF263PJH	RNA-seq
ENCFF362UKA	RNA-seq
ENCFF095ZAM	RNA-seq
ENCFF599WII	RNA-seq
ENCFF328COA	RNA-seq
ENCFF431BWG	RNA-seq
ENCFF110TIQ	RNA-seq
ENCFF000VZX	ChIP-seq
ENCFF000WAC	ChIP-seq
ENCFF000WEL	ChIP-seq
ENCFF000WEN	ChIP-seq
ENCFF000WCD	ChIP-seq
ENCFF000WCF	ChIP-seq
ENCFF000VVE	ChIP-seq
ENCFF000VVL	ChIP-seq
ENCFF000WFF	ChIP-seq
ENCFF000WFG	ChIP-seq
ENCFF000VAA	RIP-seq
ENCFF000VAC	RIP-seq
ENCFF001GNQ	Repli-seq
ENCFF001GNW	Repli-seq
ENCFF000ROE	ChIP-seq
ENCFF000ROF	ChIP-seq
ENCFF000NUX	ChIP-seq
ENCFF000NUY	ChIP-seq
ENCFF000RPA	ChIP-seq
ENCFF000RPC	ChIP-seq
ENCFF000OEO	ChIP-seq
ENCFF000OEL	ChIP-seq
ENCFF000ARL	ChIP-seq
ENCFF000ARN	ChIP-seq
ENCFF000VUQ	ChIP-seq
ENCFF000VUS	ChIP-seq
ENCFF859DWF	single cell isolation followed by RNA-seq
ENCFF911OVQ	single cell isolation followed by RNA-seq
ENCFF356GZU	single cell isolation followed by RNA-seq
ENCFF619TQJ	single cell isolation followed by RNA-seq
ENCFF430GIQ	single cell isolation followed by RNA-seq
ENCFF164FRF	single cell isolation followed by RNA-seq
ENCFF347WFP	single cell isolation followed by RNA-seq
ENCFF641YOP	single cell isolation followed by RNA-seq
ENCFF621HXL	single cell isolation followed by RNA-seq
ENCFF454MQY	single cell isolation followed by RNA-seq
ENCFF182YIK	single cell isolation followed by RNA-seq
ENCFF951MZX	single cell isolation followed by RNA-seq
ENCFF215DHD	single cell isolation followed by RNA-seq
ENCFF874UBO	single cell isolation followed by RNA-seq
ENCFF031FOW	single cell isolation followed by RNA-seq
ENCFF308VIO	single cell isolation followed by RNA-seq
ENCFF940QZI	single cell isolation followed by RNA-seq
ENCFF373QSL	single cell isolation followed by RNA-seq
ENCFF007FJI	single cell isolation followed by RNA-seq
ENCFF258YSZ	single cell isolation followed by RNA-seq
ENCFF925PCE	single cell isolation followed by RNA-seq
ENCFF259KER	single cell isolation followed by RNA-seq
ENCFF148QHM	single cell isolation followed by RNA-seq
ENCFF581UJR	single cell isolation followed by RNA-seq
ENCFF938NLN	single cell isolation followed by RNA-seq
ENCFF583HWX	single cell isolation followed by RNA-seq
ENCFF438NPX	single cell isolation followed by RNA-seq
ENCFF290MAU	single cell isolation followed by RNA-seq
ENCFF233MYI	single cell isolation followed by RNA-seq
ENCFF287QRR	single cell isolation followed by RNA-seq
ENCFF673AYL	single cell isolation followed by RNA-seq
ENCFF370TVU	single cell isolation followed by RNA-seq
ENCFF039MCX	single cell isolation followed by RNA-seq
ENCFF927SFE	single cell isolation followed by RNA-seq
ENCFF434YBE	single cell isolation followed by RNA-seq
ENCFF684MMY	single cell isolation followed by RNA-seq
ENCFF279SCI	single cell isolation followed by RNA-seq
ENCFF856WUJ	single cell isolation followed by RNA-seq
ENCFF260EFH	single cell isolation followed by RNA-seq
ENCFF645RHL	single cell isolation followed by RNA-seq
ENCFF011AGJ	single cell isolation followed by RNA-seq
ENCFF955COQ	single cell isolation followed by RNA-seq
ENCFF690AXT	single cell isolation followed by RNA-seq
ENCFF740HPT	single cell isolation followed by RNA-seq
ENCFF585MQD	single cell isolation followed by RNA-seq
ENCFF000WHH	ChIP-seq
ENCFF000WHK	ChIP-seq
ENCFF923TUQ	single cell isolation followed by RNA-seq
ENCFF822AIS	single cell isolation followed by RNA-seq
ENCFF068ATV	single cell isolation followed by RNA-seq
ENCFF543BHX	single cell isolation followed by RNA-seq
ENCFF570WMU	single cell isolation followed by RNA-seq
ENCFF000OBI	ChIP-seq
ENCFF000OBJ	ChIP-seq
ENCFF000OBO	ChIP-seq
ENCFF067MJH	single cell isolation followed by RNA-seq
ENCFF375CBT	single cell isolation followed by RNA-seq
ENCFF550LLI	single cell isolation followed by RNA-seq
ENCFF466HPK	single cell isolation followed by RNA-seq
ENCFF004RYS	single cell isolation followed by RNA-seq
ENCFF632MEF	single cell isolation followed by RNA-seq
ENCFF431DKQ	single cell isolation followed by RNA-seq
ENCFF805QDG	single cell isolation followed by RNA-seq
ENCFF306AWL	single cell isolation followed by RNA-seq
ENCFF402JPM	single cell isolation followed by RNA-seq
ENCFF000NYO	ChIP-seq
ENCFF000NYP	ChIP-seq
ENCFF000OGR	ChIP-seq
ENCFF000OGU	ChIP-seq
ENCFF000OED	ChIP-seq
ENCFF000OEF	ChIP-seq
ENCFF878XIR	RNA-seq
ENCFF679NOL	RNA-seq
ENCFF828WQJ	RNA-seq
ENCFF585MRI	RNA-seq
ENCFF685RIZ	RNA-seq
ENCFF406LBY	RNA-seq
ENCFF077YYZ	RNA-seq
ENCFF634RRK	RNA-seq
ENCFF001RQZ	RNA-seq
ENCFF001RQV	RNA-seq
ENCFF001SBG	RNA-seq
ENCFF001SBA	RNA-seq
ENCFF001SDN	RNA-seq
ENCFF001SDK	RNA-seq
ENCFF001SGD	RNA-seq
ENCFF001SGC	RNA-seq
ENCFF012PAA	RNA-seq
ENCFF713DSY	RNA-seq
ENCFF959TZO	RNA-seq
ENCFF814NCT	RNA-seq
ENCFF340KVL	RNA-seq
ENCFF023SAN	RNA-seq
ENCFF704SWF	RNA-seq
ENCFF943NOR	RNA-seq
ENCFF690AUZ	RNA-seq
ENCFF813DLN	RNA-seq
ENCFF000WEV	ChIP-seq
ENCFF000WEW	ChIP-seq
ENCFF000WFT	ChIP-seq
ENCFF000WFU	ChIP-seq
ENCFF000OGB	ChIP-seq
ENCFF000OGF	ChIP-seq
ENCFF000WAF	ChIP-seq
ENCFF000WAH	ChIP-seq
ENCFF000CWY	RNA-seq
ENCFF000CWZ	RNA-seq
ENCFF000CXE	RNA-seq
ENCFF000CXF	RNA-seq
ENCFF398UWK	single cell isolation followed by RNA-seq
ENCFF170KVD	single cell isolation followed by RNA-seq
ENCFF498NRI	single cell isolation followed by RNA-seq
ENCFF938IJK	single cell isolation followed by RNA-seq
ENCFF747CXS	single cell isolation followed by RNA-seq
ENCFF000OAW	ChIP-seq
ENCFF000OAX	ChIP-seq
ENCFF000OBC	ChIP-seq
ENCFF000WCN	ChIP-seq
ENCFF000WCQ	ChIP-seq
ENCFF262KHM	ChIP-seq
ENCFF437VCI	ChIP-seq
ENCFF000VWA	ChIP-seq
ENCFF000VWB	ChIP-seq
ENCFF545DZO	ChIP-seq
ENCFF268MJK	ChIP-seq
ENCFF124OQN	ChIP-seq
ENCFF110OHA	ChIP-seq
ENCFF001EXF	ChIP-seq
ENCFF001EXG	ChIP-seq
ENCFF000VXN	ChIP-seq
ENCFF000VXO	ChIP-seq
ENCFF469MLY	ChIP-seq
ENCFF051OWS	ChIP-seq
ENCFF271GYL	ChIP-seq
ENCFF950RDW	ChIP-seq
ENCFF000WHE	ChIP-seq
ENCFF000WHF	ChIP-seq
ENCFF831IKS	RNA-seq
ENCFF275XKF	RNA-seq
ENCFF284YOU	RNA-seq
ENCFF881NZS	RNA-seq
ENCFF377DXG	RNA-seq
ENCFF065BHT	RNA-seq
ENCFF986SLR	RNA-seq
ENCFF050DBE	RNA-seq
ENCFF000NSQ	ChIP-seq
ENCFF000NSU	ChIP-seq
ENCFF000VUV	ChIP-seq
ENCFF000VVD	ChIP-seq
ENCFF735ORN	single cell isolation followed by RNA-seq
ENCFF857EAD	single cell isolation followed by RNA-seq
ENCFF541OBY	single cell isolation followed by RNA-seq
ENCFF207TUS	single cell isolation followed by RNA-seq
ENCFF942RHS	single cell isolation followed by RNA-seq
ENCFF897EZQ	single cell isolation followed by RNA-seq
ENCFF315HXX	single cell isolation followed by RNA-seq
ENCFF824RUC	single cell isolation followed by RNA-seq
ENCFF072BJK	single cell isolation followed by RNA-seq
ENCFF231MEC	single cell isolation followed by RNA-seq
ENCFF000RQX	ChIP-seq
ENCFF000RRB	ChIP-seq
ENCFF563WQV	ChIP-seq
ENCFF534KZJ	ChIP-seq
ENCFF001EWW	ChIP-seq
ENCFF001EWZ	ChIP-seq
ENCFF209SJM	ChIP-seq
ENCFF901ETI	ChIP-seq
ENCFF000NXH	ChIP-seq
ENCFF000NXI	ChIP-seq
ENCFF000VAW	RIP-seq
ENCFF000VAX	RIP-seq
ENCFF000WFW	ChIP-seq
ENCFF000WFY	ChIP-seq
ENCFF000VYJ	ChIP-seq
ENCFF000VYK	ChIP-seq
ENCFF000VZO	ChIP-seq
ENCFF000VZP	ChIP-seq
ENCFF000LMO	RNA-seq
ENCFF000DAV	RNA-seq
ENCFF000DBD	RNA-seq
ENCFF000VYZ	ChIP-seq
ENCFF000VZB	ChIP-seq
ENCFF000VVS	ChIP-seq
ENCFF000VVT	ChIP-seq
ENCFF001EXQ	ChIP-seq
ENCFF001EXR	ChIP-seq
ENCFF325SGZ	ChIP-seq
ENCFF589DPU	ChIP-seq
ENCFF822SQU	ChIP-seq
ENCFF147ZCK	ChIP-seq
ENCFF748DIW	ChIP-seq
ENCFF328CQA	ChIP-seq
ENCFF000VZF	ChIP-seq
ENCFF000VZG	ChIP-seq
ENCFF000VZI	ChIP-seq
ENCFF000VZJ	ChIP-seq
ENCFF000NWF	ChIP-seq
ENCFF000NWK	ChIP-seq
ENCFF000OHP	ChIP-seq
ENCFF000OHS	ChIP-seq
ENCFF000WAS	ChIP-seq
ENCFF000WAT	ChIP-seq
ENCFF000WCV	ChIP-seq
ENCFF000WCW	ChIP-seq
ENCFF866PMJ	ChIP-seq
ENCFF192BTS	ChIP-seq
ENCFF465CEB	ChIP-seq
ENCFF861ZPY	ChIP-seq
ENCFF692TYF	ChIP-seq
ENCFF366RSX	ChIP-seq
ENCFF000OFP	ChIP-seq
ENCFF000OFQ	ChIP-seq
ENCFF000TVF	CAGE
ENCFF945PZX	CAGE
ENCFF000NVR	ChIP-seq
ENCFF000NVU	ChIP-seq
ENCFF000NZY	ChIP-seq
ENCFF000OAB	ChIP-seq
ENCFF001RQL	RNA-seq
ENCFF001RQO	RNA-seq
ENCFF001RZI	RNA-seq
ENCFF001SBD	RNA-seq
ENCFF001SDZ	RNA-seq
ENCFF001SDP	RNA-seq
ENCFF001SGB	RNA-seq
ENCFF001SGA	RNA-seq
ENCFF076PWB	RNA-seq
ENCFF992KBD	RNA-seq
ENCFF245CYE	RNA-seq
ENCFF440CEE	RNA-seq
ENCFF316TOH	RNA-seq
ENCFF023VHF	RNA-seq
ENCFF828YCJ	RNA-seq
ENCFF792UDG	RNA-seq
ENCFF379GMK	RNA-seq
ENCFF062FGC	RNA-seq
ENCFF001HHN	ChIP-seq
ENCFF001HHS	ChIP-seq
ENCFF586ZMB	ChIP-seq
ENCFF549EZJ	ChIP-seq
ENCFF475YMR	ChIP-seq
ENCFF585ZIJ	ChIP-seq
ENCFF609ZXH	ChIP-seq
ENCFF792KZU	ChIP-seq
ENCFF241ICI	ChIP-seq
ENCFF744LEM	ChIP-seq
ENCFF652NWL	ChIP-seq
ENCFF686LHL	ChIP-seq
ENCFF888AIA	ChIP-seq
ENCFF955NYD	ChIP-seq
ENCFF029UNK	ChIP-seq
ENCFF869WVJ	ChIP-seq
ENCFF975GPP	ChIP-seq
ENCFF178EBR	ChIP-seq
ENCFF430LJF	ChIP-seq
ENCFF084LVF	ChIP-seq
ENCFF742KAV	ChIP-seq
ENCFF988HVR	ChIP-seq
ENCFF806SMA	ChIP-seq
ENCFF249FIH	ChIP-seq
ENCFF178WGW	ChIP-seq
ENCFF019XCK	ChIP-seq
ENCFF573GQJ	ChIP-seq
ENCFF707LIB	ChIP-seq
ENCFF810XMW	ChIP-seq
ENCFF323BGI	ChIP-seq
ENCFF462BSP	ChIP-seq
ENCFF787QFQ	ChIP-seq
ENCFF634ELX	ChIP-seq
ENCFF464GJM	ChIP-seq
ENCFF267KMU	ChIP-seq
ENCFF878WNM	ChIP-seq
ENCFF917WPY	ChIP-seq
ENCFF923TDM	ChIP-seq
ENCFF327BYF	ChIP-seq
ENCFF288FXI	ChIP-seq
ENCFF897PRV	ChIP-seq
ENCFF844CVM	ChIP-seq
ENCFF345DIP	ChIP-seq
ENCFF541BNH	ChIP-seq
ENCFF241VLD	ChIP-seq
ENCFF219QMR	ChIP-seq
ENCFF959CLS	ChIP-seq
ENCFF376FCT	ChIP-seq
ENCFF902XGC	ChIP-seq
ENCFF141RIS	ChIP-seq
ENCFF069GGB	ChIP-seq
ENCFF076TDR	ChIP-seq
ENCFF639QMC	ChIP-seq
ENCFF204VIF	ChIP-seq
ENCFF982QKE	ChIP-seq
ENCFF665BYT	ChIP-seq
ENCFF426ILM	ChIP-seq
ENCFF491QSR	ChIP-seq
ENCFF216YZE	ChIP-seq
ENCFF565JZS	ChIP-seq
ENCFF580EVG	ChIP-seq
ENCFF736UXD	ChIP-seq
ENCFF648SPM	ChIP-seq
ENCFF625RFM	ChIP-seq
ENCFF000NRS	ChIP-seq
ENCFF000NRT	ChIP-seq
ENCFF000NXX	ChIP-seq
ENCFF000NXY	ChIP-seq
ENCFF000NXM	ChIP-seq
ENCFF000NXP	ChIP-seq
ENCFF000EUK	RNA-seq
ENCFF000EUL	RNA-seq
ENCFF817PGH	RNA-seq
ENCFF529TMT	RNA-seq
ENCFF195ODK	RNA-seq
ENCFF072EKT	RNA-seq
ENCFF435XLI	RNA-seq
ENCFF216UNP	RNA-seq
ENCFF915XSE	RNA-seq
ENCFF664VWD	RNA-seq
ENCFF000CXQ	RNA-seq
ENCFF000CZN	RNA-seq
ENCFF000CZY	RNA-seq
ENCFF000DBH	RNA-seq
ENCFF688XDE	ChIP-seq
ENCFF370YOR	ChIP-seq
ENCFF390GUF	ChIP-seq
ENCFF033TCK	ChIP-seq
ENCFF396GSL	ChIP-seq
ENCFF898VJT	ChIP-seq
ENCFF640ZFH	ChIP-seq
ENCFF921QCO	ChIP-seq
ENCFF300OJT	ChIP-seq
ENCFF548STS	ChIP-seq
ENCFF822WHM	ChIP-seq
ENCFF360EFO	ChIP-seq
ENCFF001CTZ	DNase-seq
ENCFF001CUI	DNase-seq
ENCFF000ASX	ChIP-seq
ENCFF000ATB	ChIP-seq
ENCFF000TVN	CAGE
ENCFF396CCC	CAGE
ENCFF465ZRB	CAGE
ENCFF000TUF	CAGE
ENCFF902WTN	CAGE
ENCFF755JSX	CAGE
ENCFF000TUL	CAGE
ENCFF000TUM	CAGE
ENCFF399FZB	CAGE
ENCFF732FXG	CAGE
ENCFF843ZMC	CAGE
ENCFF004VVU	CAGE
ENCFF000TTM	CAGE
ENCFF000TTN	CAGE
ENCFF390UBP	CAGE
ENCFF355YOQ	CAGE
ENCFF928ULT	CAGE
ENCFF002MHE	CAGE
ENCFF360QES	ChIP-seq
ENCFF769NOS	ChIP-seq
ENCFF701IVE	ChIP-seq
ENCFF285XVW	ChIP-seq
ENCFF640XZS	ChIP-seq
ENCFF943EGP	ChIP-seq
ENCFF621AIX	ChIP-seq
ENCFF571DSD	ChIP-seq
ENCFF856PTQ	ChIP-seq
ENCFF530LAJ	ChIP-seq
ENCFF360OZT	ChIP-seq
ENCFF856SJL	ChIP-seq
ENCFF481EUA	ChIP-seq
ENCFF102NUJ	ChIP-seq
ENCFF865MRA	ChIP-seq
ENCFF642CBH	ChIP-seq
ENCFF235FDS	ChIP-seq
ENCFF714EVJ	ChIP-seq
ENCFF959KSA	ChIP-seq
ENCFF404VIO	ChIP-seq
ENCFF675OUX	ChIP-seq
ENCFF922RKY	ChIP-seq
ENCFF053VFZ	ChIP-seq
ENCFF629WCK	ChIP-seq
ENCFF000ASE	ChIP-seq
ENCFF000ATQ	ChIP-seq
ENCFF000ATS	ChIP-seq
ENCFF433IIU	ChIP-seq
ENCFF708JUN	ChIP-seq
ENCFF019VEK	ChIP-seq
ENCFF278QPY	ChIP-seq
ENCFF000ATY	ChIP-seq
ENCFF000AUA	ChIP-seq
ENCFF000OBV	ChIP-seq
ENCFF000OCB	ChIP-seq
ENCFF000NTW	ChIP-seq
ENCFF000NTZ	ChIP-seq
ENCFF000EZU	RNA-seq
ENCFF000EZV	RNA-seq
ENCFF666URY	RNA-seq
ENCFF444SWQ	RNA-seq
ENCFF241TBK	RNA-seq
ENCFF945FWU	RNA-seq
ENCFF789DXK	RNA-seq
ENCFF885AON	RNA-seq
ENCFF498SKI	RNA-seq
ENCFF252CNJ	RNA-seq
ENCFF784FIO	ChIP-seq
ENCFF282JRK	ChIP-seq
ENCFF384CXB	ChIP-seq
ENCFF382USC	ChIP-seq
ENCFF722EAP	ChIP-seq
ENCFF249XQG	ChIP-seq
ENCFF821WKC	ChIP-seq
ENCFF295HEG	ChIP-seq
ENCFF136YJS	ChIP-seq
ENCFF809AHN	ChIP-seq
ENCFF110LOM	ChIP-seq
ENCFF722RLB	ChIP-seq
ENCFF457KTM	ChIP-seq
ENCFF369CTE	ChIP-seq
ENCFF670VGQ	ChIP-seq
ENCFF559OOA	ChIP-seq
ENCFF083LQR	ChIP-seq
ENCFF319QTJ	ChIP-seq
ENCFF370WJQ	ChIP-seq
ENCFF209LCU	ChIP-seq
ENCFF601BPA	ChIP-seq
ENCFF019MMH	ChIP-seq
ENCFF057WQP	ChIP-seq
ENCFF000ASK	ChIP-seq
ENCFF000ASL	ChIP-seq
ENCFF000ASQ	ChIP-seq
ENCFF000AUG	ChIP-seq
ENCFF000AUH	ChIP-seq
ENCFF000AUJ	ChIP-seq
ENCFF001RSP	RNA-seq
ENCFF001RSM	RNA-seq
ENCFF001RZC	RNA-seq
ENCFF001RZG	RNA-seq
ENCFF001SCP	RNA-seq
ENCFF001SCK	RNA-seq
ENCFF001SFT	RNA-seq
ENCFF001SFS	RNA-seq
